player_id,player_name,ev_avg,la_avg,barrel_pct,xba,xwoba
650333,"Arraez, Luis",87.4,14.7,0.4,0.286,0.3
663538,"Hoerner, Nico",85.8,12.3,1.1,0.294,0.332
676391,"Clement, Ernie",85.4,15.3,2.8,0.257,0.275
645277,"Albies, Ozzie",87.0,16.2,4.5,0.258,0.311
672640,"Lopez, Otto",90.3,6.2,7.1,0.296,0.337
666182,"Bichette, Bo",90.9,7.8,7.7,0.28,0.329
608324,"Bregman, Alex",88.0,15.4,5.2,0.249,0.315
677951,"Witt Jr., Bobby",93.2,16.8,12.1,0.307,0.386
695734,"Lile, Daylen",87.8,17.3,7.8,0.263,0.326
647304,"Naylor, Josh",87.8,14.5,5.2,0.273,0.323
669364,"Edwards, Xavier",87.2,11.2,5.6,0.277,0.34
677594,"Rodríguez, Julio",90.4,13.2,9.2,0.265,0.343
606466,"Marte, Ketel",90.8,10.6,10.5,0.302,0.372
608070,"Ramírez, José",90.3,19.5,6.6,0.28,0.355
661388,"Contreras, William",89.7,12.6,7.1,0.277,0.336
802415,"Simpson, Chandler",83.9,2.8,0.0,0.243,0.253
676475,"Burleson, Alec",91.5,12.4,11.7,0.291,0.388
808982,"Lee, Jung Hoo",87.6,10.4,2.3,0.317,0.336
641355,"Bellinger, Cody",89.3,19.1,8.1,0.284,0.369
683002,"Henderson, Gunnar",89.3,12.3,8.6,0.237,0.311
681624,"Pages, Andy",89.9,15.7,9.5,0.275,0.342
665489,"Guerrero Jr., Vladimir",90.4,8.6,6.4,0.298,0.354
607208,"Turner, Trea",88.8,9.9,5.0,0.231,0.277
650490,"Díaz, Yandy",90.6,7.3,8.3,0.291,0.37
805808,"McGonigle, Kevin",87.9,21.8,8.3,0.268,0.363
518692,"Freeman, Freddie",90.8,11.9,12.1,0.28,0.378
672580,"Garcia, Maikel",90.1,8.8,5.2,0.278,0.323
666176,"Adell, Jo",90.7,17.9,8.5,0.27,0.335
702284,"Young, Cole",87.9,15.6,5.2,0.276,0.33
689414,"Hicks, Liam",85.7,15.1,4.7,0.255,0.325
677800,"Abreu, Wilyer",89.9,18.2,11.3,0.266,0.34
664761,"Bohm, Alec",89.9,10.2,4.3,0.24,0.29
669127,"Langeliers, Shea",91.8,21.4,15.2,0.283,0.378
673962,"Jung, Josh",89.6,11.7,5.2,0.299,0.353
624413,"Alonso, Pete",95.0,14.4,12.4,0.276,0.377
665487,"Tatis Jr., Fernando",91.0,3.8,10.5,0.285,0.35
672695,"Perdomo, Geraldo",87.4,12.8,2.9,0.265,0.334
621566,"Olson, Matt",93.5,18.7,14.4,0.261,0.37
670541,"Alvarez, Yordan",94.4,19.0,18.2,0.347,0.489
691406,"Caminero, Junior",92.8,7.8,12.0,0.268,0.361
572233,"Walker, Christian",90.5,14.3,11.5,0.238,0.316
686797,"Lee, Brooks",87.7,13.4,4.8,0.225,0.277
521692,"Perez, Salvador",88.4,16.7,8.2,0.225,0.287
686469,"Pasquantino, Vinnie",88.5,20.3,7.2,0.246,0.316
671056,"Herrera, Iván",89.8,6.3,7.2,0.272,0.371
800050,"DeLauter, Chase",90.0,14.4,5.8,0.278,0.341
680757,"Kwan, Steven",83.0,14.6,0.5,0.246,0.302
607043,"Nimmo, Brandon",92.0,11.3,10.7,0.283,0.371
681198,"Rumfield, TJ",85.2,14.9,6.3,0.252,0.327
669477,"Schmitt, Casey",89.2,21.3,12.2,0.279,0.344
643289,"Dubón, Mauricio",86.3,15.4,5.9,0.265,0.315
